Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2017,1,Alaska,Spirits,103645.0,42598,593378,0.0718,,
2017,1,Colorado,Spirits,733857.0,301615,4634346,0.0651,,
2017,1,Florida,Spirits,2770686.0,1138752,17722275,0.0643,,
2017,1,Illinois,Spirits,1044642.0,429348,10556100,0.0407,,
2017,1,Kentucky,Spirits,779156.0,320233,3670568,0.0872,,
2017,1,Massachusetts,Spirits,520076.0,213751,5815595,0.0368,,
2017,1,Minnesota,Spirits,833970.0,342762,4555107,0.0752,,
2017,1,Missouri,Spirits,633870.0,260521,5037634,0.0517,,
2017,1,North Dakota,Spirits,123893.0,50920,613251,0.083,,
2017,1,Tennessee,Spirits,1220401.0,501585,5545920,0.0904,,
2017,1,Alaska,Wine,140499.0,18124,593378,0.0305,,
2017,1,Colorado,Wine,1146987.0,147961,4634346,0.0319,,
2017,1,Florida,Wine,5987405.0,772375,17722275,0.0436,,
2017,1,Illinois,Wine,2113935.0,272698,10556100,0.0258,,
2017,1,Kentucky,Wine,736522.0,95011,3670568,0.0259,,
2017,1,Massachusetts,Wine,1342858.0,173229,5815595,0.0298,,
2017,1,Minnesota,Wine,978486.0,126225,4555107,0.0277,,
2017,1,Missouri,Wine,972384.0,125437,5037634,0.0249,,
2017,1,North Dakota,Wine,96753.0,12481,613251,0.0204,,
2017,1,Tennessee,Wine,1634857.0,210897,5545920,0.038,,
2017,1,Alaska,Beer,787407.0,35433,593378,0.0597,,
2017,1,Colorado,Beer,8181014.0,368146,4634346,0.0794,,
2017,1,Florida,Beer,30220321.0,1359914,17722275,0.0767,,
2017,1,Illinois,Beer,15922784.0,716525,10556100,0.0679,,
2017,1,Kentucky,Beer,5959564.0,268180,3670568,0.0731,,
2017,1,Massachusetts,Beer,8185604.0,368352,5815595,0.0633,,
2017,1,Minnesota,Beer,8161461.0,367266,4555107,0.0806,,
2017,1,Missouri,Beer,9474397.0,426348,5037634,0.0846,,
2017,1,North Dakota,Beer,1480113.0,66605,613251,0.1086,,
2017,1,Tennessee,Beer,8237299.0,370678,5545920,0.0668,,
2017,1,Alaska,All Beverages,,96156,593378,0.162,,
2017,1,Colorado,All Beverages,,817722,4634346,0.1764,,
2017,1,Florida,All Beverages,,3271041,17722275,0.1846,,
2017,1,Illinois,All Beverages,,1418571,10556100,0.1344,,
2017,1,Kentucky,All Beverages,,683425,3670568,0.1862,,
2017,1,Massachusetts,All Beverages,,755332,5815595,0.1299,,
2017,1,Minnesota,All Beverages,,836252,4555107,0.1836,,
2017,1,Missouri,All Beverages,,812306,5037634,0.1612,,
2017,1,North Dakota,All Beverages,,130006,613251,0.212,,
2017,1,Tennessee,All Beverages,,1083160,5545920,0.1953,,
2017,2,Alaska,Spirits,120929.0,49702,593378,0.0838,,
2017,2,Colorado,Spirits,929497.0,382023,4634346,0.0824,,
2017,2,Florida,Spirits,3423792.0,1407178,17722275,0.0794,,
2017,2,Illinois,Spirits,1419199.0,583291,10556100,0.0553,,
2017,2,Kentucky,Spirits,262904.0,108053,3670568,0.0294,,
2017,2,Massachusetts,Spirits,812741.0,334037,5815595,0.0574,,
2017,2,Minnesota,Spirits,964014.0,396210,4555107,0.087,,
2017,2,Missouri,Spirits,956038.0,392932,5037634,0.078,,
2017,2,North Dakota,Spirits,137002.0,56308,613251,0.0918,,
2017,2,Tennessee,Spirits,663475.0,272688,5545920,0.0492,,
2017,2,Alaska,Wine,163072.0,21036,593378,0.0355,,
2017,2,Colorado,Wine,1482717.0,191270,4634346,0.0413,,
2017,2,Florida,Wine,6685572.0,862439,17722275,0.0487,,
2017,2,Illinois,Wine,2586424.0,333649,10556100,0.0316,,
2017,2,Kentucky,Wine,244620.0,31556,3670568,0.0086,,
2017,2,Massachusetts,Wine,1962634.0,253180,5815595,0.0435,,
