Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2017,1,02,1,103645,42598,593378,0.0718,,
2017,1,08,1,733857,301615,4634346,0.0651,,
2017,1,12,1,2770686,1138752,17722275,0.0643,,
2017,1,17,1,1044642,429348,10556100,0.0407,,
2017,1,21,1,779156,320233,3670568,0.0872,,
2017,1,25,1,520076,213751,5815595,0.0368,,
2017,1,27,1,833970,342762,4555107,0.0752,,
2017,1,29,1,633870,260521,5037634,0.0517,,
2017,1,38,1,123893,50920,613251,0.0830,,
2017,1,47,1,1220401,501585,5545920,0.0904,,
2017,1,02,2,140499,18124,593378,0.0305,,
2017,1,08,2,1146987,147961,4634346,0.0319,,
2017,1,12,2,5987405,772375,17722275,0.0436,,
2017,1,17,2,2113935,272698,10556100,0.0258,,
2017,1,21,2,736522,95011,3670568,0.0259,,
2017,1,25,2,1342858,173229,5815595,0.0298,,
2017,1,27,2,978486,126225,4555107,0.0277,,
2017,1,29,2,972384,125437,5037634,0.0249,,
2017,1,38,2,96753,12481,613251,0.0204,,
2017,1,47,2,1634857,210897,5545920,0.0380,,
2017,1,02,3,787407,35433,593378,0.0597,,
2017,1,08,3,8181014,368146,4634346,0.0794,,
2017,1,12,3,30220321,1359914,17722275,0.0767,,
2017,1,17,3,15922784,716525,10556100,0.0679,,
2017,1,21,3,5959564,268180,3670568,0.0731,,
2017,1,25,3,8185604,368352,5815595,0.0633,,
2017,1,27,3,8161461,367266,4555107,0.0806,,
2017,1,29,3,9474397,426348,5037634,0.0846,,
2017,1,38,3,1480113,66605,613251,0.1086,,
2017,1,47,3,8237299,370678,5545920,0.0668,,
2017,1,02,4,,96156,593378,0.1620,,
2017,1,08,4,,817722,4634346,0.1764,,
2017,1,12,4,,3271041,17722275,0.1846,,
2017,1,17,4,,1418571,10556100,0.1344,,
2017,1,21,4,,683425,3670568,0.1862,,
2017,1,25,4,,755332,5815595,0.1299,,
2017,1,27,4,,836252,4555107,0.1836,,
2017,1,29,4,,812306,5037634,0.1612,,
2017,1,38,4,,130006,613251,0.2120,,
2017,1,47,4,,1083160,5545920,0.1953,,
2017,2,02,1,120929,49702,593378,0.0838,,
2017,2,08,1,929497,382023,4634346,0.0824,,
2017,2,12,1,3423792,1407178,17722275,0.0794,,
2017,2,17,1,1419199,583291,10556100,0.0553,,
2017,2,21,1,262904,108053,3670568,0.0294,,
2017,2,25,1,812741,334037,5815595,0.0574,,
2017,2,27,1,964014,396210,4555107,0.0870,,
2017,2,29,1,956038,392932,5037634,0.0780,,
2017,2,38,1,137002,56308,613251,0.0918,,
2017,2,47,1,663475,272688,5545920,0.0492,,
2017,2,02,2,163072,21036,593378,0.0355,,
2017,2,08,2,1482717,191270,4634346,0.0413,,
2017,2,12,2,6685572,862439,17722275,0.0487,,
2017,2,17,2,2586424,333649,10556100,0.0316,,
2017,2,21,2,244620,31556,3670568,0.0086,,
2017,2,25,2,1962634,253180,5815595,0.0435,,
2017,2,27,2,1209438,156017,4555107,0.0343,,
2017,2,29,2,1312305,169287,5037634,0.0336,,
2017,2,38,2,106924,13793,613251,0.0225,,
2017,2,47,2,957664,123539,5545920,0.0223,,
2017,2,02,3,845710,38057,593378,0.0641,,
2017,2,08,3,7969597,358632,4634346,0.0774,,
2017,2,12,3,31736910,1428161,17722275,0.0806,,
2017,2,17,3,16802205,756099,10556100,0.0716,,
2017,2,21,3,4533440,204005,3670568,0.0556,,
2017,2,25,3,7809330,351420,5815595,0.0604,,
2017,2,27,3,7852621,353368,4555107,0.0776,,
2017,2,29,3,9010164,405457,5037634,0.0805,,
2017,2,38,3,1495247,67286,613251,0.1097,,
2017,2,47,3,9720247,437411,5545920,0.0789,,
2017,2,02,4,,108795,593378,0.1833,,
2017,2,08,4,,931926,4634346,0.2011,,
2017,2,12,4,,3697778,17722275,0.2087,,
2017,2,17,4,,1673039,10556100,0.1585,,
2017,2,21,4,,343614,3670568,0.0936,,
2017,2,25,4,,938636,5815595,0.1614,,
2017,2,27,4,,905595,4555107,0.1988,,
2017,2,29,4,,967676,5037634,0.1921,,
2017,2,38,4,,137387,613251,0.2240,,
2017,2,47,4,,833638,5545920,0.1503,,
2017,3,02,1,141033,57964,593378,0.0977,,
2017,3,08,1,1154429,474470,4634346,0.1024,,
2017,3,12,1,4217222,1733278,17722275,0.0978,,
2017,3,17,1,1767023,726247,10556100,0.0688,,
2017,3,21,1,681101,279932,3670568,0.0763,,
2017,3,25,1,1212509,498341,5815595,0.0857,,
2017,3,27,1,1050120,431599,4555107,0.0948,,
2017,3,29,1,1064454,437490,5037634,0.0868,,
2017,3,38,1,162070,66611,613251,0.1086,,
2017,3,47,1,761605,313020,5545920,0.0564,,
2017,3,02,2,207743,26799,593378,0.0452,,
2017,3,08,2,1516369,195612,4634346,0.0422,,
2017,3,12,2,7571086,976670,17722275,0.0551,,
2017,3,17,2,3007626,387984,10556100,0.0368,,
2017,3,21,2,320378,41329,3670568,0.0113,,
2017,3,25,2,2722797,351241,5815595,0.0604,,
2017,3,27,2,1198026,154545,4555107,0.0339,,
2017,3,29,2,1340458,172919,5037634,0.0343,,
2017,3,38,2,126127,16270,613251,0.0265,,
2017,3,47,2,968791,124974,5545920,0.0225,,
2017,3,02,3,1104293,49693,593378,0.0837,,
2017,3,08,3,9848197,443169,4634346,0.0956,,
2017,3,12,3,40430413,1819369,17722275,0.1027,,
2017,3,17,3,21032499,946462,10556100,0.0897,,
2017,3,21,3,6286329,282885,3670568,0.0771,,
2017,3,25,3,10467658,471045,5815595,0.0810,,
2017,3,27,3,9466875,426009,4555107,0.0935,,
2017,3,29,3,11123045,500537,5037634,0.0994,,
2017,3,38,3,1598135,71916,613251,0.1173,,
2017,3,47,3,8487395,381933,5545920,0.0689,,
2017,3,02,4,,134456,593378,0.2266,,
2017,3,08,4,,1113251,4634346,0.2402,,
2017,3,12,4,,4529317,17722275,0.2556,,
2017,3,17,4,,2060693,10556100,0.1952,,
2017,3,21,4,,604146,3670568,0.1646,,
2017,3,25,4,,1320626,5815595,0.2271,,
2017,3,27,4,,1012154,4555107,0.2222,,
2017,3,29,4,,1110947,5037634,0.2205,,
2017,3,38,4,,154797,613251,0.2524,,
2017,3,47,4,,819926,5545920,0.1478,,
2017,4,02,1,131717,54136,593378,0.0912,,
2017,4,08,1,945519,388608,4634346,0.0839,,
2017,4,12,1,3220124,1323471,17722275,0.0747,,
2017,4,17,1,1486325,610879,10556100,0.0579,,
2017,4,21,1,631720,259637,3670568,0.0707,,
2017,4,25,1,1008246,414389,5815595,0.0713,,
2017,4,27,1,955939,392891,4555107,0.0863,,
2017,4,29,1,980158,402845,5037634,0.0800,,
2017,4,38,1,134596,55319,613251,0.0902,,
2017,4,47,1,934786,384197,5545920,0.0693,,
2017,4,02,2,166416,21468,593378,0.0362,,
2017,4,08,2,1376073,177513,4634346,0.0383,,
2017,4,12,2,6342581,818193,17722275,0.0462,,
2017,4,17,2,2698416,348096,10556100,0.0330,,
2017,4,21,2,523184,67491,3670568,0.0184,,
2017,4,25,2,2326263,300088,5815595,0.0516,,
2017,4,27,2,1216380,156913,4555107,0.0344,,
2017,4,29,2,1068064,137780,5037634,0.0274,,
2017,4,38,2,160336,20683,613251,0.0337,,
2017,4,47,2,1049128,135337,5545920,0.0244,,
2017,4,02,3,1069064,48108,593378,0.0811,,
2017,4,08,3,8949796,402741,4634346,0.0869,,
2017,4,12,3,35827699,1612246,17722275,0.0910,,
