Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2020,1,Alaska,Spirits,121885.0,50095,589481,0.085,0.073,0.1643
2020,1,Colorado,Spirits,896700.0,368544,4789291,0.077,0.0709,0.0854
2020,1,Florida,Spirits,3463591.0,1423536,18207522,0.0782,0.0692,0.1299
2020,1,Illinois,Spirits,1304376.0,536099,10512479,0.051,0.0428,0.1904
2020,1,Kentucky,Spirits,915314.0,376194,3691561,0.1019,0.0989,0.0309
2020,1,Massachusetts,Spirits,775435.0,318704,5862386,0.0544,0.0439,0.2377
2020,1,Minnesota,Spirits,906257.0,372472,4629348,0.0805,0.0799,0.0071
2020,1,Missouri,Spirits,825776.0,339394,5077875,0.0668,0.0582,0.1491
2020,1,North Dakota,Spirits,128193.0,52687,617880,0.0853,0.0859,-0.0068
2020,1,Tennessee,Spirits,1367014.0,561843,5661532,0.0992,0.0868,0.1433
2020,1,Alaska,Wine,143291.0,18485,589481,0.0314,0.0313,0.0004
2020,1,Colorado,Wine,1264300.0,163095,4789291,0.0341,0.033,0.031
2020,1,Florida,Wine,6423304.0,828606,18207522,0.0455,0.0459,-0.0075
2020,1,Illinois,Wine,2360714.0,304532,10512479,0.029,0.0266,0.0907
2020,1,Kentucky,Wine,732418.0,94482,3691561,0.0256,0.0284,-0.0984
2020,1,Massachusetts,Wine,1472257.0,189921,5862386,0.0324,0.031,0.0439
2020,1,Minnesota,Wine,1057164.0,136374,4629348,0.0295,0.0299,-0.0152
2020,1,Missouri,Wine,1260367.0,162587,5077875,0.032,0.0286,0.1183
2020,1,North Dakota,Wine,90482.0,11672,617880,0.0189,0.0199,-0.0527
2020,1,Tennessee,Wine,1789268.0,230816,5661532,0.0408,0.0378,0.0786
2020,1,Alaska,Beer,873146.0,39292,589481,0.0667,0.0638,0.0448
2020,1,Colorado,Beer,8914300.0,401144,4789291,0.0838,0.0835,0.0026
2020,1,Florida,Beer,34260264.0,1541712,18207522,0.0847,0.0781,0.0839
2020,1,Illinois,Beer,17311259.0,779007,10512479,0.0741,0.0682,0.0872
2020,1,Kentucky,Beer,5477229.0,246475,3691561,0.0668,0.0657,0.0156
2020,1,Massachusetts,Beer,8783953.0,395278,5862386,0.0674,0.065,0.037
2020,1,Minnesota,Beer,8770669.0,394680,4629348,0.0853,0.082,0.0394
2020,1,Missouri,Beer,8359075.0,376158,5077875,0.0741,0.079,-0.0625
2020,1,North Dakota,Beer,1605193.0,72234,617880,0.1169,0.1138,0.0271
2020,1,Tennessee,Beer,9368969.0,421604,5661532,0.0745,0.0691,0.0771
2020,1,Alaska,All Beverages,,107871,589481,0.183,0.1681,0.0884
2020,1,Colorado,All Beverages,,932782,4789291,0.1948,0.1875,0.0389
2020,1,Florida,All Beverages,,3793854,18207522,0.2084,0.1932,0.0787
2020,1,Illinois,All Beverages,,1619637,10512479,0.1541,0.1376,0.12
2020,1,Kentucky,All Beverages,,717151,3691561,0.1943,0.193,0.0067
2020,1,Massachusetts,All Beverages,,903903,5862386,0.1542,0.14,0.1015
2020,1,Minnesota,All Beverages,,903526,4629348,0.1952,0.1918,0.0175
2020,1,Missouri,All Beverages,,878140,5077875,0.1729,0.1658,0.0429
2020,1,North Dakota,All Beverages,,136593,617880,0.2211,0.2196,0.0066
2020,1,Tennessee,All Beverages,,1214262,5661532,0.2145,0.1937,0.1071
2020,2,Alaska,Spirits,124792.0,51290,589481,0.087,0.0829,0.049
2020,2,Colorado,Spirits,1017700.0,418275,4789291,0.0873,0.0834,0.0471
2020,2,Florida,Spirits,3725341.0,1531115,18207522,0.0841,0.0783,0.0735
2020,2,Illinois,Spirits,1606156.0,660130,10512479,0.0628,0.0574,0.0933
2020,2,Kentucky,Spirits,482955.0,198494,3691561,0.0538,0.045,0.1949
2020,2,Massachusetts,Spirits,923379.0,379509,5862386,0.0647,0.0587,0.103
2020,2,Minnesota,Spirits,1017748.0,418295,4629348,0.0904,0.0903,0.001
2020,2,Missouri,Spirits,1029767.0,423234,5077875,0.0833,0.0752,0.1087
2020,2,North Dakota,Spirits,146957.0,60399,617880,0.0978,0.0968,0.0101
2020,2,Tennessee,Spirits,837058.0,344031,5661532,0.0608,0.0551,0.1022
2020,2,Alaska,Wine,183387.0,23657,589481,0.0401,0.0366,0.0974
2020,2,Colorado,Wine,1438400.0,185554,4789291,0.0387,0.0409,-0.0523
2020,2,Florida,Wine,7421882.0,957423,18207522,0.0526,0.0479,0.0985
2020,2,Illinois,Wine,2676240.0,345235,10512479,0.0328,0.0328,0.0008
2020,2,Kentucky,Wine,382166.0,49299,3691561,0.0134,0.0129,0.0322
2020,2,Massachusetts,Wine,1849625.0,238602,5862386,0.0407,0.0427,-0.0463
2020,2,Minnesota,Wine,1102627.0,142239,4629348,0.0307,0.0322,-0.0473
2020,2,Missouri,Wine,1049834.0,135429,5077875,0.0267,0.0296,-0.099
2020,2,North Dakota,Wine,96965.0,12508,617880,0.0202,0.0223,-0.0911
2020,2,Tennessee,Wine,1044827.0,134783,5661532,0.0238,0.0225,0.0586
2020,2,Alaska,Beer,807103.0,36320,589481,0.0616,0.062,-0.0065
2020,2,Colorado,Beer,7843100.0,352940,4789291,0.0737,0.0747,-0.014
2020,2,Florida,Beer,31051945.0,1397338,18207522,0.0767,0.0798,-0.0382
2020,2,Illinois,Beer,14503052.0,652637,10512479,0.0621,0.0696,-0.1084
2020,2,Kentucky,Beer,5637796.0,253701,3691561,0.0687,0.0463,0.4853
2020,2,Massachusetts,Beer,8001865.0,360084,5862386,0.0614,0.0596,0.0298
2020,2,Minnesota,Beer,7722251.0,347501,4629348,0.0751,0.0747,0.0044
2020,2,Missouri,Beer,8692307.0,391154,5077875,0.077,0.0646,0.1926
